gold_canonical_key,domain_gold_df_fit,max_domain_gold_df_fit,fit_record_count
경계적 인물,1,18,748
경력교사,1,18,748
경상방언,2,18,748
경어도,1,18,748
경어법,1,18,748
경음화,1,18,748
경쟁,1,18,748
경제성의 원칙,1,18,748
경제원리,1,18,748
경찰수사규칙,1,18,748
경험,1,18,748
경험의 진실,1,18,748
경험적 시간성,1,18,748
계량적 방법,1,18,748
계사,3,18,748
계승어 학습자,2,18,748
계약,1,18,748
계열관계,2,18,748
계열적 분석,1,18,748
계열체,1,18,748
고급 단계 한국어,1,18,748
고급 학습자,1,18,748
고대 민족어,1,18,748
고대 수사학,1,18,748
고등교육,1,18,748
고려인,2,18,748
고립어,1,18,748
고백-명시내용-진술발화,1,18,748
고부갈등,1,18,748
고빈도 클러스터 분석,1,18,748
고압적인 표현,1,18,748
고유 명사,1,18,748
고유 특성,1,18,748
고유어,1,18,748
고유어 낱,1,18,748
고전문학,1,18,748
고정 α,1,18,748
고정관념,1,18,748
고정요소,1,18,748
공간,3,18,748
공간 구문론,1,18,748
공간 분석,1,18,748
공간 통사론,1,18,748
공간 화용론,1,18,748
공간디자인,1,18,748
공간성,1,18,748
공간의미론,1,18,748
공간적 모델,1,18,748
공간적 언어,1,18,748
공간형 콘텐츠,1,18,748
공간화,1,18,748
공공 언어,1,18,748
공공공간,1,18,748
공공기관,1,18,748
공공기관 종사자,1,18,748
공공성,1,18,748
공공언어,18,18,748
공기,1,18,748
공기관계,2,18,748
공기어,1,18,748
공기어 분석,1,18,748
공동 소유물,1,18,748
공문서,2,18,748
공백화,1,18,748
공생공락,1,18,748
공손,1,18,748
공손 전략,1,18,748
공손 표지,1,18,748
공손 표현,1,18,748
공손성,3,18,748
공시 형태론,1,18,748
공시규칙,1,18,748
공시론,1,18,748
공시와 통시의 소통,1,18,748
공시적 단어화,1,18,748
공시태,1,18,748
공적 사과문,1,18,748
공존,1,18,748
공집합,1,18,748
공형태소,1,18,748
과거 사태 지시 표현,1,18,748
과거시제,1,18,748
과거지향,1,18,748
과업 유형,1,18,748
과제기반언어교육,1,18,748
관객성,1,18,748
관계 구조,1,18,748
관계성,1,18,748
관계절,2,18,748
관계화,1,18,748
관광 스토리텔링,1,18,748
관련성 이론,1,18,748
관련성이론,1,18,748
관용 표현,3,18,748
관용의 격률,1,18,748
관점,1,18,748
관찰 기반 범주론,1,18,748
관형격 조사,2,18,748
관형사형 어미,2,18,748
관형절,1,18,748
광고,1,18,748
광동어성조,1,18,748
광장,3,18,748
광학,1,18,748
광화문 현판,1,18,748
광화문광장,1,18,748
괴수,1,18,748
교과 개념어,1,18,748
교과 과정 개편,1,18,748
교과서 기반,1,18,748
교내 활동,1,18,748
교사,1,18,748
교사 교육,3,18,748
교사 인식,4,18,748
교사 자질,1,18,748
교사 재교육,1,18,748
교사 중심 수업,1,18,748
교사 특성,1,18,748
교사 피드백,1,18,748
교사교육,1,18,748
교사말,1,18,748
교수 방안,1,18,748
교수 불안감,2,18,748
교수 실재감,1,18,748
교수 언어,1,18,748
교수-학습 방안,1,18,748
교수역량 인식,1,18,748
교수요목,1,18,748
교수요목 설계,1,18,748
교수자 지원,1,18,748
교수자에 대한 인식,1,18,748
교수진,1,18,748
교수학습 보조자료 삽화,1,18,748
교수학습 콘텐츠,1,18,748
교수학적 변환,2,18,748
교실 언어,1,18,748
교안,1,18,748
교양 한국어,2,18,748
교양 한국어 수업,1,18,748
교양교과목,1,18,748
교양교육,2,18,748
교원 교육,1,18,748
교원 규정 및 직급,1,18,748
교원 양성,1,18,748
교원 운영,1,18,748
교육,2,18,748
교육 내용,1,18,748
교육 방안,1,18,748
교육 자료 개발,1,18,748
교육과정 개발,1,18,748
교육과정 분석,1,18,748
교육과정 설계 원리,1,18,748
교육기호학,1,18,748
교육사상의 인식론적 전회,1,18,748
교육용 애플리케이션,1,18,748
교재,1,18,748
교재 개발,2,18,748
교재 개작,1,18,748
교재 분석,3,18,748
교재 평가,1,18,748
교착 지수,1,18,748
교착어,2,18,748
교체,2,18,748
교체 적정 지점,1,18,748
교체사용,1,18,748
교체의 조건,1,18,748
교환상상력,1,18,748
교환학생,1,18,748
구 마이닝,1,18,748
구개모음화,1,18,748
구개음화,2,18,748
구르망디즈,1,18,748
구문 구조,1,18,748
구문 분석,1,18,748
구문복잡도,1,18,748
구문분석 말뭉치,1,18,748
구분 기제,1,18,748
구비문학,1,18,748
구비문학. 구술성. 담론. 민족성. 형이상학. 연행론. 문학성. 텍스트성. 상호텍스성. 2차 구술성. 상호수동성,1,18,748
구성,3,18,748
구성 형태론,1,18,748
구성요소 n,1,18,748
구성주의,2,18,748
구술 성,1,18,748
구술성,2,18,748
구어,5,18,748
구어 유창성,2,18,748
구어 유창성 평가,1,18,748
구어체,1,18,748
구조,1,18,748
구조격,2,18,748
구체화,1,18,748
국가 수준 교육과정,1,18,748
국가통용언어문자 정책,1,18,748
국가표준체계,1,18,748
국립한글박물관,1,18,748
국문연구소,1,18,748
국민학교 졸업장 텍스트,1,18,748
국부성 조건,1,18,748
국어 교육,1,18,748
국어 형태론,1,18,748
국어과 교육과정,1,18,748
국어교육,1,18,748
국어기본법,2,18,748
국어문화원,1,18,748
국어정화운동,1,18,748
국어책임관,2,18,748
국외 한국어 교사,1,18,748
국적취득,1,18,748
국제 문자 부호계,1,18,748
국제 통용 한국어 표준 교육과정,1,18,748
국제 통용 한국어 표준교육과정,1,18,748
국제결혼시스템,1,18,748
국제음성기호,1,18,748
국제표준,1,18,748
국지성,1,18,748
국표,1,18,748
군주제,1,18,748
군집 분석,1,18,748
굴절,2,18,748
굴절광학,1,18,748
굴절부,1,18,748
굴절인칭,1,18,748
굴절적응,1,18,748
굴절접사,1,18,748
굿,1,18,748
궁체,1,18,748
권력,3,18,748
권선징악,1,18,748
권위적 표현,1,18,748
규모,1,18,748
규칙,3,18,748
규칙성,1,18,748
규칙순,1,18,748
균질성의 원칙,1,18,748
그레마스,3,18,748
그레마스 기호사각형,1,18,748
그로테스크,2,18,748
그로테스크 리얼리즘,1,18,748
그룹 뮤,2,18,748
그림자 논항,1,18,748
그림책,1,18,748
극복,1,18,748
극성 역전,1,18,748
근거 자료,1,18,748
근대 음악,1,18,748
근대문학,1,18,748
근대성,2,18,748
근원양태,1,18,748
글쓰기,3,18,748
금기,3,18,748
금기 위반,1,18,748
금융 도메인 감성분석,1,18,748
금줄,1,18,748
긍정,1,18,748
긍정명령문과 부정명령문의 허가 조건,1,18,748
기계 번역,1,18,748
기계 번역 문식성,1,18,748
기계번역,1,18,748
기계번역 리터러시,1,18,748
기계적 종속,1,18,748
기계학습,1,18,748
기념사,1,18,748
기념식,1,18,748
기념식 중계,1,18,748
기능,1,18,748
기능동사,3,18,748
기능범주,2,18,748
기능주의,2,18,748
기대,1,18,748
기대 가치 비용,1,18,748
기도문,1,18,748
기록,2,18,748
기본 맛 가설,1,18,748
기본상태,1,18,748
기본적 의미,1,18,748
기본형,2,18,748
기생 텍스트,1,18,748
기생충,1,18,748
기술담화,1,18,748
기술적 상상,1,18,748
기술적 이미지,1,18,748
기술형,1,18,748
기식적 유성음,1,18,748
기억,2,18,748
기억 연구,1,18,748
기억 재현,1,18,748
기원 해체성,1,18,748
기원(祈願),1,18,748
기입표면,1,18,748
기저형,3,18,748
기점,1,18,748
기정성,1,18,748
기하학적 예술,1,18,748
기호,4,18,748
기호 기능론,1,18,748
기호 생산 이론,1,18,748
기호 생성론,1,18,748
기호간 번역,1,18,748
기호론,2,18,748
기호사각형,2,18,748
기호성,1,18,748
기호세계 소통 준칙,1,18,748
기호유형론,1,18,748
기호이데올로기,1,18,748
기호인류학,1,18,748
기호작용,2,18,748
기호적 브리콜라주,1,18,748
기호포함구조,1,18,748
기호학,18,18,748
기호학 분석,1,18,748
기호학분석,1,18,748
기호학연구,1,18,748
기호학의 역사,1,18,748
기호학의 주체,1,18,748
기호학자,1,18,748
기호학적 공해,2,18,748
기호학적 발상,1,18,748
기호학적 사각형,1,18,748
기호학적 실천,1,18,748
기호학적 인식론,1,18,748
기호학적 존재양식,1,18,748
기호학적 행위,1,18,748
긴장,1,18,748
